exams,probability,instance_seed,solver_seed,solver,slots,time,max_time
2,0.6,1,1,code1,2,0.000003,60
2,0.6,1,1,code2,2,0.000011,60
2,0.6,1,2,code1,2,0.000002,60
2,0.6,1,2,code2,2,0.000007,60
2,0.6,1,3,code1,2,0.000002,60
2,0.6,1,3,code2,2,0.000010,60
2,0.6,2,0,code1,1,0.000006,60
2,0.6,2,0,code2,1,0.000007,60
2,0.6,2,1,code1,1,0.000005,60
2,0.6,2,1,code2,1,0.000007,60
2,0.6,2,2,code1,1,0.000004,60
2,0.6,2,2,code2,1,0.000005,60
2,0.6,2,3,code1,1,0.000008,60
2,0.6,2,3,code2,1,0.000005,60
2,0.6,3,0,code1,2,0.000002,60
2,0.6,3,0,code2,2,0.000006,60
2,0.6,3,1,code1,2,0.000005,60
2,0.6,3,1,code2,2,0.000007,60
2,0.6,3,2,code1,2,0.000002,60
2,0.6,3,2,code2,2,0.000005,60
2,0.6,3,3,code1,2,0.000001,60
2,0.6,3,3,code2,2,0.000005,60
2,0.8,0,0,code1,1,0.000005,60
2,0.8,0,0,code2,1,0.000005,60
2,0.8,0,1,code1,1,0.000004,60
2,0.8,0,1,code2,1,0.000008,60
2,0.8,0,2,code1,1,0.000004,60
2,0.8,0,2,code2,1,0.000006,60
2,0.8,0,3,code1,1,0.000006,60
2,0.8,0,3,code2,1,0.000005,60
2,0.8,1,0,code1,2,0.000001,60
2,0.8,1,0,code2,2,0.000007,60
2,0.8,1,1,code1,2,0.000002,60
2,0.8,1,1,code2,2,0.000005,60
2,0.8,1,2,code1,2,0.000002,60
2,0.8,1,2,code2,2,0.000005,60
2,0.8,1,3,code1,2,0.000002,60
2,0.8,1,3,code2,2,0.000006,60
2,0.8,2,0,code1,1,0.000006,60
2,0.8,2,0,code2,1,0.000005,60
2,0.8,2,1,code1,1,0.000005,60
2,0.8,2,1,code2,1,0.000008,60
